endpoint,endpoint_name,contrast,left_rule,right_rule,n_pairs,paired_mean_difference,paired_median_difference,ci_lower,ci_upper,raw_p,holm_adjusted_p,reject_0_05
turnout_mean,Mean turnout,utilitarian - borda,utilitarian,borda,200,0.36001999999999995,0.24599999999999866,0.0582700000000001,0.6605645000000006,0.01778982210177898,0.07115928840711593,False
turnout_mean,Mean turnout,utilitarian - schulze,utilitarian,schulze,200,0.62652,0.3099999999999987,0.38601699999999994,0.9009604999999992,9.99990000099999e-06,0.00011999880001199988,True
turnout_mean,Mean turnout,borda - schulze,borda,schulze,200,0.2665,0.030000000000001137,0.010534499999999666,0.5664045000000001,0.06175938240617594,0.1852781472185278,False
gini_assets_mean,Mean asset inequality,utilitarian - borda,utilitarian,borda,200,1.60156,1.5480000000000018,0.8867219999999997,2.3614895,9.99990000099999e-06,0.00011999880001199988,True
gini_assets_mean,Mean asset inequality,utilitarian - schulze,utilitarian,schulze,200,0.9706599999999999,0.9060000000000006,0.3236584999999998,1.604192,0.002849971500284997,0.014249857501424986,True
gini_assets_mean,Mean asset inequality,borda - schulze,borda,schulze,200,-0.6308999999999999,-0.20600000000000307,-1.3278889999999997,0.03190900000000016,0.07311926880731193,0.1852781472185278,False
gini_dissatisfaction_mean,Mean dissatisfaction inequality,utilitarian - borda,utilitarian,borda,200,1.14222,1.0639999999999983,1.035298,1.2532215000000002,9.99990000099999e-06,0.00011999880001199988,True
gini_dissatisfaction_mean,Mean dissatisfaction inequality,utilitarian - schulze,utilitarian,schulze,200,0.4600199999999998,0.4079999999999995,0.3961189999999998,0.5239804999999995,9.99990000099999e-06,0.00011999880001199988,True
gini_dissatisfaction_mean,Mean dissatisfaction inequality,borda - schulze,borda,schulze,200,-0.6822000000000003,-0.6080000000000005,-0.7688200000000001,-0.5983990000000002,9.99990000099999e-06,0.00011999880001199988,True
quality_distance_mean,Mean quality distance,utilitarian - borda,utilitarian,borda,200,0.008579999999999999,0.010000000000000009,0.005435,0.011589999999999996,9.99990000099999e-06,0.00011999880001199988,True
quality_distance_mean,Mean quality distance,utilitarian - schulze,utilitarian,schulze,200,0.006575000000000002,0.006000000000000005,0.004555000000000004,0.008695000000000001,9.99990000099999e-06,0.00011999880001199988,True
quality_distance_mean,Mean quality distance,borda - schulze,borda,schulze,200,-0.0020049999999999972,0.0,-0.004554999999999996,0.0005302499999999998,0.13292867071329287,0.1852781472185278,False
