rule_idx,rule_name,rule_group,step,n_runs,turnout_mean,turnout_q25,turnout_q75,gini_assets_mean,gini_assets_q25,gini_assets_q75,collective_assets_mean,collective_assets_q25,collective_assets_q75,gini_dissatisfaction_mean,gini_dissatisfaction_q25,gini_dissatisfaction_q75,mean_dissatisfaction_mean,mean_dissatisfaction_q25,mean_dissatisfaction_q75,quality_distance_mean,quality_distance_q25,quality_distance_q75
0,plurality,reference,1,200,67.12,64.75,70.0,3.655,3.0,5.0,10348.062270507813,9145.520751953125,11390.660400390625,20.415,18.0,22.0,0.3271015299856663,0.2988799437880516,0.34749750792980194,0.49375,0.25,0.75
0,plurality,reference,2,200,67.56,65.0,71.0,5.955,3.0,8.0,10783.109274902345,8947.19970703125,12767.57666015625,22.33,20.0,24.0,0.302068397924304,0.28312911838293076,0.31945300847291946,0.50875,0.25,0.75
0,plurality,reference,3,200,68.04,65.0,71.0,7.935,5.0,10.25,11368.063549804687,8770.360595703125,14039.889892578125,24.12,21.0,27.0,0.28707324512302873,0.26401325315237045,0.3087061867117882,0.46375,0.25,0.75
0,plurality,reference,4,200,67.77,64.0,71.0,9.15,6.0,12.0,11919.537109375,8575.102294921875,15250.732666015625,25.055,22.0,28.0,0.28285402119159697,0.2557011544704437,0.3047950193285942,0.465,0.25,0.75
0,plurality,reference,5,200,68.18,64.75,71.25,11.035,8.0,14.0,12510.94037109375,8277.0673828125,15977.642822265625,25.14,22.0,27.0,0.27991722524166107,0.2551158592104912,0.30537983775138855,0.50625,0.25,0.75
0,plurality,reference,6,200,68.425,65.0,72.0,11.975,8.0,16.0,13325.521262207032,8080.20947265625,17538.68994140625,25.66,22.0,28.0,0.2782143598794937,0.25334683805704117,0.30367694050073624,0.4125,0.0,0.75
0,plurality,reference,7,200,68.695,66.0,72.0,13.13,9.0,18.0,14183.605823974609,8214.022827148438,19109.5126953125,25.225,22.0,28.0,0.2797413581609726,0.25389137119054794,0.30329030007123947,0.4825,0.25,0.75
0,plurality,reference,8,200,68.025,65.0,71.0,14.51,10.0,19.25,15253.60787109375,7995.06005859375,20125.2802734375,25.195,22.0,28.25,0.27883121810853484,0.2518984228372574,0.30696092545986176,0.455,0.25,0.75
0,plurality,reference,9,200,68.685,65.0,72.0,15.675,11.0,21.0,16437.544210205077,8083.7059326171875,22498.72900390625,25.465,22.0,29.0,0.27802341014146803,0.25274763256311417,0.3024507537484169,0.49,0.25,0.75
0,plurality,reference,10,200,68.565,65.0,72.0,16.83,11.0,22.0,17853.996220703124,8132.146728515625,25383.4580078125,25.745,22.0,29.0,0.27589838437736036,0.2522744908928871,0.301655150949955,0.4475,0.25,0.75
0,plurality,reference,11,200,69.1,65.0,72.25,17.625,12.0,23.25,19358.888203125,7922.7073974609375,27690.1591796875,25.47,22.0,29.0,0.27671673059463503,0.2509138658642769,0.30444732308387756,0.45,0.25,0.75
0,plurality,reference,12,200,69.09,66.0,72.0,18.88,13.0,25.0,21157.352598876954,7748.3399658203125,28408.9345703125,25.44,21.75,29.0,0.2759600149840116,0.24812979251146317,0.3009740561246872,0.44625,0.25,0.75
0,plurality,reference,13,200,69.035,65.0,73.0,20.02,14.75,25.25,23353.33224243164,8024.18408203125,31050.6923828125,25.77,22.0,30.0,0.2755325811356306,0.2526279389858246,0.29940029233694077,0.43125,0.25,0.75
0,plurality,reference,14,200,69.375,66.0,72.25,20.885,14.75,27.0,25543.2394140625,7770.9049072265625,31415.0751953125,25.66,22.0,29.0,0.2756852349638939,0.24986688792705536,0.30090996623039246,0.445,0.25,0.75
0,plurality,reference,15,200,69.23,66.0,73.0,22.005,16.0,29.0,28124.744595947264,8265.502075195312,35153.271484375,25.775,22.0,29.0,0.2756512804329395,0.2483539655804634,0.30035966634750366,0.44875,0.25,0.75
0,plurality,reference,16,200,69.665,66.75,73.0,22.925,17.0,30.0,30868.47519897461,8657.36279296875,38276.0703125,26.15,22.0,30.0,0.27557125441730024,0.2490316815674305,0.3030971884727478,0.4225,0.0,0.75
0,plurality,reference,17,200,69.51,65.0,73.0,23.745,17.0,31.0,34314.73478881836,9327.235107421875,44842.1279296875,26.08,22.0,30.0,0.2761455499380827,0.252148374915123,0.3007986322045326,0.44625,0.25,0.75
