design_id,rule_idx,rule_name,rule_group,seed,family_role,run_dir,quality_target_mode,turnout_mean,gini_assets_mean,gini_dissatisfaction_mean,quality_distance_mean,turnout_last_third_mean,turnout_final,turnout_volatility,gini_assets_last_third_mean,gini_assets_final,gini_assets_volatility,collective_assets_mean,collective_assets_last_third_mean,collective_assets_final,gini_dissatisfaction_last_third_mean,gini_dissatisfaction_final,gini_dissatisfaction_volatility,quality_distance_last_third_mean,quality_distance_final,quality_distance_volatility,mean_dissatisfaction_mean,mean_dissatisfaction_final,diversity_entropy_mean,diversity_entropy_final
149,0,plurality,reference,10246,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_10246/run_0,puzzle,85.656,21.244,33.636,0.455,86.17857142857143,85.0,0.023855421686746987,22.0,22.0,0.0007630522088353414,366222880872837.56,1080407249137859.0,5783620677533696.0,35.13095238095238,38.0,0.022048192771084336,0.5714285714285714,0.75,0.21184738955823293,0.20011559504270554,0.1857677400112152,0.7146083155870437,0.8486716747283936
149,0,plurality,reference,10393,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_10393/run_0,puzzle,61.864,53.464,24.164,0.522,49.26190476190476,47.0,0.0363855421686747,58.0,58.0,0.007028112449799197,67791863.50609472,201670374.94642857,2610799872.0,29.678571428571427,30.0,0.029598393574297187,0.5178571428571429,0.5,0.2580321285140562,0.33664349353313444,0.3557986319065094,0.7109987685680389,0.7217111587524414
149,0,plurality,reference,10588,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_10588/run_0,puzzle,61.708,51.112,26.444,0.544,62.833333333333336,64.0,0.034417670682730925,61.79761904761905,62.0,0.006867469879518072,15210398.251539063,40789707.5,76000576.0,26.547619047619047,31.0,0.020843373493975904,0.5476190476190477,0.75,0.30220883534136544,0.3155126827955246,0.3124188780784607,0.7195394713878631,0.7922441363334656
149,0,plurality,reference,11176,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_11176/run_0,puzzle,58.404,53.376,27.088,0.468,52.404761904761905,48.0,0.040120481927710845,59.0,59.0,0.004979919678714859,38132554091.41313,112047941443.04762,1348695883776.0,28.297619047619047,31.0,0.020080321285140562,0.4880952380952381,0.0,0.2901606425702811,0.2943755534887314,0.3051251769065857,0.7316660656929016,0.709975004196167
149,0,plurality,reference,11311,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_11311/run_0,puzzle,64.928,50.292,28.288,0.42,62.23809523809524,63.0,0.03598393574297189,60.0,60.0,0.005582329317269076,9579215141020.926,28506263915178.668,71637831516160.0,30.904761904761905,31.0,0.016746987951807228,0.4851190476190476,0.25,0.2359437751004016,0.27874250495433806,0.264026939868927,0.7220977894067764,0.7546793222427368
149,0,plurality,reference,11408,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_11408/run_0,puzzle,66.032,40.568,32.036,0.497,63.19047619047619,66.0,0.03180722891566265,42.0,42.0,0.001606425702811245,12141250087379.287,36118374820132.57,186357389459456.0,32.714285714285715,35.0,0.017710843373493976,0.5089285714285714,1.0,0.20180722891566266,0.2579617732167244,0.247177854180336,0.7404110083580017,0.8430839776992798
149,0,plurality,reference,11660,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_11660/run_0,puzzle,68.9,48.252,25.472,0.481,67.27380952380952,66.0,0.036184738955823297,61.51190476190476,63.0,0.011887550200803211,6413884.152371582,18815098.339285713,13472140.0,28.0,25.0,0.04357429718875502,0.5059523809523809,1.0,0.321285140562249,0.30138536643981934,0.2896769940853119,0.7316079773902893,0.7259917259216309
149,0,plurality,reference,12392,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_12392/run_0,puzzle,64.688,51.86,28.764,0.564,62.964285714285715,62.0,0.036184738955823297,57.0,57.0,0.003453815261044177,253214554.60456935,751229752.25,5352661504.0,30.214285714285715,22.0,0.025060240963855424,0.5416666666666666,0.25,0.32228915662650603,0.2778917407989502,0.28719696402549744,0.76578810942173,0.557787299156189
149,0,plurality,reference,12494,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_12494/run_0,puzzle,83.344,25.54,32.348,0.499,84.11904761904762,84.0,0.029839357429718872,27.0,27.0,0.001044176706827309,62961460229789.96,187382684797903.25,1893613365624832.0,33.26190476190476,28.0,0.014096385542168674,0.44345238095238093,0.5,0.19578313253012047,0.22453208005428313,0.242939293384552,0.7184221931695938,0.6760706305503845
149,0,plurality,reference,12536,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_12536/run_0,puzzle,67.028,43.82,25.208,0.499,67.80952380952381,64.0,0.04763052208835341,55.61904761904762,56.0,0.010441767068273093,95217904.03585547,283235549.11904764,1238217984.0,25.404761904761905,27.0,0.014618473895582329,0.43452380952380953,1.0,0.29819277108433734,0.26362159484624864,0.24823525547981262,0.7205632400512695,0.6681350469589233
149,0,plurality,reference,14271,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_14271/run_0,puzzle,75.736,34.676,22.08,0.542,78.16666666666667,79.0,0.03550200803212852,48.73809523809524,55.0,0.026184738955823295,145830.20851074217,382694.1804780506,1607503.875,21.904761904761905,26.0,0.018433734939759038,0.49404761904761907,0.5,0.286144578313253,0.3024702863693237,0.2912482023239136,0.7062017078399658,0.7572342753410339
149,0,plurality,reference,14879,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_14879/run_0,puzzle,73.756,37.532,30.528,0.567,71.22619047619048,72.0,0.033775100401606424,39.0,39.0,0.0014056224899598394,569732531.5486231,1426679556.5714285,6552563712.0,31.154761904761905,33.0,0.018755020080321285,0.6696428571428571,0.0,0.2540160642570281,0.2552742860913277,0.24177111685276031,0.7338735027313232,0.785775363445282
149,0,plurality,reference,14942,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_14942/run_0,puzzle,77.492,30.456,29.324,0.595,78.79761904761905,80.0,0.037429718875502005,34.0,34.0,0.0016465863453815261,10652339381.739374,30420266962.285713,26971916288.0,29.94047619047619,28.0,0.014377510040160642,0.6875,0.75,0.25301204819277107,0.21654264616966248,0.22298310697078705,0.73932628262043,0.7450066804885864
149,0,plurality,reference,17514,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_17514/run_0,puzzle,57.54,50.14,26.356,0.516,49.285714285714285,47.0,0.035341365461847386,58.0,58.0,0.010803212851405624,335297965.14340234,986886044.0952381,7845252096.0,27.714285714285715,31.0,0.03297188755020081,0.4851190476190476,0.5,0.31626506024096385,0.31999313056468964,0.32783249020576477,0.73516521859169,0.7078930735588074
149,0,plurality,reference,18594,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_majority/seed_18594/run_0,puzzle,61.252,53.152,27.156,0.421,58.392857142857146,58.0,0.028112449799196786,57.0,57.0,0.0034136546184738957,138417388749008.28,411889716593030.1,4385742235107328.0,27.702380952380953,32.0,0.023534136546184737,0.4226190476190476,0.25,0.29417670682730923,0.2900653027296066,0.29591748118400574,0.6949345178604126,0.6081758141517639
