endpoint,endpoint_name,contrast,left_rule,right_rule,n_pairs,paired_mean_difference,paired_median_difference,ci_lower,ci_upper,raw_p,bh_q_value
turnout_mean,Mean turnout,utilitarian - plurality,utilitarian,plurality,200,-1.36768,-0.7840000000000025,-1.9687864999999998,-0.7970270000000007,9.99990000099999e-06,9.99990000099999e-06
turnout_mean,Mean turnout,utilitarian - random,utilitarian,random,200,11.786979999999998,10.881999999999998,10.5368975,13.030823999999999,9.99990000099999e-06,9.99990000099999e-06
turnout_mean,Mean turnout,borda - plurality,borda,plurality,200,-1.7276999999999998,-1.2079999999999984,-2.3976755,-1.0743524999999996,9.99990000099999e-06,9.99990000099999e-06
turnout_mean,Mean turnout,borda - random,borda,random,200,11.42696,10.632000000000005,10.206879000000002,12.6840935,9.99990000099999e-06,9.99990000099999e-06
turnout_mean,Mean turnout,schulze - plurality,schulze,plurality,200,-1.9942,-1.1579999999999977,-2.6608725000000004,-1.3508540000000002,9.99990000099999e-06,9.99990000099999e-06
turnout_mean,Mean turnout,schulze - random,schulze,random,200,11.16046,10.113999999999997,9.9060155,12.435385,9.99990000099999e-06,9.99990000099999e-06
gini_assets_mean,Mean asset inequality,utilitarian - plurality,utilitarian,plurality,200,-2.43338,-2.3619999999999983,-3.336588500000001,-1.4941505000000002,9.99990000099999e-06,9.99990000099999e-06
gini_assets_mean,Mean asset inequality,utilitarian - random,utilitarian,random,200,19.18628,19.418,17.7835335,20.6191125,9.99990000099999e-06,9.99990000099999e-06
gini_assets_mean,Mean asset inequality,borda - plurality,borda,plurality,200,-4.034940000000001,-4.425999999999998,-5.1187815,-2.932387000000001,9.99990000099999e-06,9.99990000099999e-06
gini_assets_mean,Mean asset inequality,borda - random,borda,random,200,17.58472,17.112000000000002,16.0359195,19.095522499999998,9.99990000099999e-06,9.99990000099999e-06
gini_assets_mean,Mean asset inequality,schulze - plurality,schulze,plurality,200,-3.40404,-3.520000000000003,-4.389461000000001,-2.4037325000000003,9.99990000099999e-06,9.99990000099999e-06
gini_assets_mean,Mean asset inequality,schulze - random,schulze,random,200,18.215619999999998,18.119999999999997,16.771141999999998,19.691556,9.99990000099999e-06,9.99990000099999e-06
gini_dissatisfaction_mean,Mean dissatisfaction inequality,utilitarian - plurality,utilitarian,plurality,200,-3.67856,-3.469999999999999,-4.0556625,-3.3086589999999996,9.99990000099999e-06,9.99990000099999e-06
gini_dissatisfaction_mean,Mean dissatisfaction inequality,utilitarian - random,utilitarian,random,200,4.003900000000001,3.960000000000001,3.7216970000000003,4.292763,9.99990000099999e-06,9.99990000099999e-06
gini_dissatisfaction_mean,Mean dissatisfaction inequality,borda - plurality,borda,plurality,200,-4.82078,-4.538000000000002,-5.267,-4.375932000000001,9.99990000099999e-06,9.99990000099999e-06
gini_dissatisfaction_mean,Mean dissatisfaction inequality,borda - random,borda,random,200,2.8616800000000002,2.7699999999999996,2.5839564999999993,3.1329874999999996,9.99990000099999e-06,9.99990000099999e-06
gini_dissatisfaction_mean,Mean dissatisfaction inequality,schulze - plurality,schulze,plurality,200,-4.138579999999999,-3.9619999999999997,-4.549709,-3.737438999999999,9.99990000099999e-06,9.99990000099999e-06
gini_dissatisfaction_mean,Mean dissatisfaction inequality,schulze - random,schulze,random,200,3.54388,3.360000000000001,3.2643,3.8327625000000007,9.99990000099999e-06,9.99990000099999e-06
quality_distance_mean,Mean quality distance,utilitarian - plurality,utilitarian,plurality,200,-0.177905,-0.171,-0.18424,-0.171789875,9.99990000099999e-06,9.99990000099999e-06
quality_distance_mean,Mean quality distance,utilitarian - random,utilitarian,random,200,-0.313825,-0.316,-0.32027537500000003,-0.307349625,9.99990000099999e-06,9.99990000099999e-06
quality_distance_mean,Mean quality distance,borda - plurality,borda,plurality,200,-0.18648499999999998,-0.18250000000000002,-0.19298525000000002,-0.17998974999999998,9.99990000099999e-06,9.99990000099999e-06
quality_distance_mean,Mean quality distance,borda - random,borda,random,200,-0.322405,-0.32499999999999996,-0.328345,-0.31666,9.99990000099999e-06,9.99990000099999e-06
quality_distance_mean,Mean quality distance,schulze - plurality,schulze,plurality,200,-0.18448,-0.1805,-0.191505125,-0.17754987500000002,9.99990000099999e-06,9.99990000099999e-06
quality_distance_mean,Mean quality distance,schulze - random,schulze,random,200,-0.3204,-0.3235,-0.3268603750000001,-0.313864875,9.99990000099999e-06,9.99990000099999e-06
