scope,rule_name,rule_group,personality_group_idx,n_runs,corr_abstention_assets_rank_mean,corr_abstention_final_dissatisfaction_rank_mean,corr_abstention_mean_dissatisfaction_rank_mean,delta_high_minus_low_assets_rank_mean,delta_high_minus_low_final_dissatisfaction_rank_mean,delta_high_minus_low_mean_dissatisfaction_rank_mean,corr_group_size_assets_mean,corr_group_size_assets_rank_mean
all_agents_by_rule,approval,context,,50,-0.7475045132093774,0.47337829557835404,0.4510732675696122,-0.3884642066789244,0.3022359267020212,0.28091857971929607,,
all_agents_by_rule,borda,canonical,,200,-0.7545246654296741,0.4262928383019873,0.4226479314731125,-0.40626091701020317,0.25869599832196444,0.257926731647246,,
all_agents_by_rule,plurality,reference,,200,-0.8197042119304663,0.5838251701792635,0.5820843340578956,-0.44413312276769445,0.3715275004681694,0.37077846726385194,,
all_agents_by_rule,random,reference,,200,-0.15858282269885474,0.0015885665654276223,0.03746017312217056,-0.07588379972093988,-0.0002971695702564062,0.027852485872869353,,
all_agents_by_rule,schulze,canonical,,200,-0.7604312150497562,0.4382871330225671,0.43916724986081923,-0.4024209270856644,0.2715547956530548,0.27267954181464743,,
all_agents_by_rule,utilitarian,canonical,,200,-0.778735322140803,0.43005364907236804,0.4566585897914901,-0.40125467623598643,0.270485148182011,0.2870705687614977,,
group_size_assets_by_rule,approval,context,,50,,,,,,,0.5847676449893471,0.53831232279247
group_size_assets_by_rule,borda,canonical,,200,,,,,,,0.5676919240601261,0.5155658329323535
group_size_assets_by_rule,plurality,reference,,200,,,,,,,0.8115477450904731,0.7282531487223391
group_size_assets_by_rule,random,reference,,200,,,,,,,-0.01294358342602774,0.03811619017931009
group_size_assets_by_rule,schulze,canonical,,200,,,,,,,0.5765162689055484,0.5099362038854398
group_size_assets_by_rule,utilitarian,canonical,,200,,,,,,,0.6557195010341252,0.561038915581782
within_group_by_rule_and_group,approval,context,0,50,0.9598408271911516,-0.005607115413342676,-0.0011566458714542627,0.6901154386581945,-0.004474713646950061,-0.001090206011324838,,
within_group_by_rule_and_group,approval,context,1,48,0.9613120151285252,0.011265213155212908,0.014149027643048007,0.6431169184069718,0.009421913662760793,0.0115574133835986,,
within_group_by_rule_and_group,approval,context,2,49,0.9209833696586748,-0.03939467213796774,-0.03220395558283339,0.5795291556066006,-0.02449315726099809,-0.029063724365077048,,
within_group_by_rule_and_group,approval,context,3,50,0.959521188683439,-0.021914252901693635,-0.02848255499863534,0.6903186274946801,-0.02250464747524932,-0.029039312265531372,,
within_group_by_rule_and_group,borda,canonical,0,199,0.962560997338489,-0.004321740118001104,-0.002351007079381908,0.691406377871359,-0.002177064387758296,-0.00544987061247643,,
within_group_by_rule_and_group,borda,canonical,1,191,0.9575704392701977,-0.05300576289425152,-0.03965126669215613,0.6532560293877328,-0.030808131973391637,-0.02457723458186957,,
within_group_by_rule_and_group,borda,canonical,2,196,0.959317996783616,-0.04488446382249016,-0.04521524332063945,0.632348881861984,-0.026623211103003974,-0.029659149357866038,,
within_group_by_rule_and_group,borda,canonical,3,199,0.9633549548712181,0.0033094463829438777,-0.015122055559463696,0.6885873056632356,0.005556956637119404,-0.006514780138403448,,
within_group_by_rule_and_group,plurality,reference,0,199,0.9589855831271598,0.026319959439425965,0.022677040208804563,0.6786366156380278,0.014554578038962072,0.01042630017323375,,
within_group_by_rule_and_group,plurality,reference,1,191,0.9453984430957989,-0.020679761692154203,-0.028131366518628215,0.6352774016141347,-0.014751400904977716,-0.024399825940112873,,
within_group_by_rule_and_group,plurality,reference,2,196,0.9474871423183429,-0.010427308249352969,-0.02167637305352349,0.6215607131081375,-0.005586859112397046,-0.012773290058814241,,
within_group_by_rule_and_group,plurality,reference,3,199,0.9519391482625097,0.011953413489521827,0.0024347740696313877,0.67541616767076,0.00902675853596418,0.003752379213318964,,
within_group_by_rule_and_group,random,reference,0,199,0.9510476386829232,-0.009466168609010834,-0.0026688032114574826,0.6826831609040775,-0.004978064672744828,-0.001393390177634978,,
within_group_by_rule_and_group,random,reference,1,191,0.9483536442116957,-0.0060299991073301884,-0.010839462767466607,0.644210580249575,-0.008014891855382116,-0.009353766469315836,,
within_group_by_rule_and_group,random,reference,2,196,0.9482614174027887,0.001640138677652913,-0.0002826526680013923,0.6214645535452147,0.004215604611031471,0.001447551530203561,,
within_group_by_rule_and_group,random,reference,3,199,0.9529524977227711,0.012186918668798353,0.004448676266095049,0.6793968738549947,0.007566614829060809,0.0009433335157083274,,
within_group_by_rule_and_group,schulze,canonical,0,199,0.9632732647226622,-4.086103122292855e-05,0.0020803995160310097,0.692617195296247,0.006574156431554519,0.009179792431985337,,
within_group_by_rule_and_group,schulze,canonical,1,191,0.9535877228031012,-0.03156185813353856,-0.024603584000754776,0.6459669160997735,-0.012972547121623339,-0.011174469984160612,,
within_group_by_rule_and_group,schulze,canonical,2,196,0.9618393308494942,-0.043510335607513516,-0.0350457692450223,0.6329810956878598,-0.02991795772709551,-0.02997808508366406,,
within_group_by_rule_and_group,schulze,canonical,3,199,0.9623080181359346,0.006762992331300087,-0.011364877459831347,0.6866671304023247,0.0020827928602871384,-0.006718840459722343,,
within_group_by_rule_and_group,utilitarian,canonical,0,199,0.959200276777213,0.016446538985643105,0.011130095304894587,0.6839195051360274,0.009107922387779108,0.003467304456631315,,
within_group_by_rule_and_group,utilitarian,canonical,1,191,0.9520947305940254,-0.06534340328032513,-0.04782979644162256,0.6452830600250636,-0.04040217227217591,-0.032936748241568246,,
within_group_by_rule_and_group,utilitarian,canonical,2,196,0.9577361242994976,-0.03998007010600307,-0.031983632059506203,0.6255854410947399,-0.02388523826349683,-0.02418514351271775,,
within_group_by_rule_and_group,utilitarian,canonical,3,199,0.9614445465974683,0.0036937854156508074,-0.008676702260849198,0.6819754736718902,0.0043410644296698,0.0010638533035650535,,
within_group_mean_by_personality_group,all_rules,all,0,6,0.9591514313065997,0.0038884355422485876,0.004951846477906085,0.6865630489173222,0.0031011356918070852,0.002523321710069026,,
within_group_mean_by_personality_group,all_rules,all,1,6,0.9530528325172241,-0.02755926199206445,-0.022817741462930047,0.6445184842972086,-0.01625453841079832,-0.015147438638904756,,
within_group_mean_by_personality_group,all_rules,all,2,6,0.9492708968854023,-0.029426118540945758,-0.027734604321587707,0.6189116401507561,-0.01771513647599333,-0.020701973474655928,,
within_group_mean_by_personality_group,all_rules,all,3,6,0.9585867257122235,0.002665383897753553,-0.009460456657175523,0.6837269297929809,0.001011589969475335,-0.006085561138510803,,
within_group_mean_by_rule,approval,context,,4,0.9504143501654476,-0.013912706824447785,-0.011923532202468747,0.6507700350416117,-0.010512651180109168,-0.011908957314583666,,
within_group_mean_by_rule,borda,canonical,,4,0.9607010970658802,-0.024725630112949728,-0.025584893162910294,0.6663996486960778,-0.013512862706758626,-0.016550258672653872,,
within_group_mean_by_rule,plurality,reference,,4,0.9509525792009528,0.001791575746860155,-0.006173981323428938,0.652722724507765,0.0008107691393878726,-0.0057486091530936,,
within_group_mean_by_rule,random,reference,,4,0.9501537995050446,-0.0004172775924724389,-0.0023355605952076084,0.6569387921384655,-0.0003026842720086659,-0.0020890679002597314,,
within_group_mean_by_rule,schulze,canonical,,4,0.9602520841277981,-0.017087515610243728,-0.017233457797394353,0.6645580843715513,-0.008558388889219297,-0.009672900773890419,,
within_group_mean_by_rule,utilitarian,canonical,,4,0.957618919567051,-0.021295787246258573,-0.01934000886427084,0.6591908699819302,-0.012709605929555959,-0.013147683498522408,,
